id,created_at,text - utf-8,simplified
1526822617214164994,2022-05-18 07:10:53+00:00,b'Sana umulan.',Sana umulan
1526822610985619456,2022-05-18 07:10:52+00:00,b'swerte ko sa amo ko\xf0\x9f\x98\x98',swerte ko sa amo ko
1526822601888256000,2022-05-18 07:10:49+00:00,b'@teslaownersSV @ChargeGoGroup DAMN LOVE COLOR PEACH LETS BRING THAT SEXY TESLA TO THE BEACH!! My love \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f @elonmusk',DAMN LOVE COLOR PEACH LETS BRING THAT SEXY TESLA TO THE BEACH My love
1526822574864203778,2022-05-18 07:10:43+00:00,b'@inozanti Hahahah matanda pa sakin yan',Hahahah matanda pa sakin yan
1526822572842569728,2022-05-18 07:10:43+00:00,b'@mikenavallo Sana ito na ang inaantay na plot twist',Sana ito na ang inaantay na plot twist
1526822562004496390,2022-05-18 07:10:40+00:00,b'WAS JUD KO KASAGANG SAIYANG KABAGAG NAWNG HAHAHAHAH',WAS JUD KO KASAGANG SAIYANG KABAGAG NAWNG HAHAHAHAH
1526822540328714241,2022-05-18 07:10:35+00:00,b'tingnan mo uulan nanaman \xf0\x9f\x99\x84',tingnan mo uulan nanaman
1526822532547874816,2022-05-18 07:10:33+00:00,b'Hindi nako maka relate sa kanila',Hindi nako maka relate sa kanila
1526822476424290304,2022-05-18 07:10:20+00:00,b'yes po nakamove on na ako sa eleksyon \xf0\x9f\xa4\xa3\xf0\x9f\x98\xad https://t.co/KxpYmfG6mH',yes po nakamove on na ako sa eleksyon
1526822476080001024,2022-05-18 07:10:19+00:00,b'Ang hirap ng ganito',Ang hirap ng ganito
1526822463920742400,2022-05-18 07:10:17+00:00,b'Basin ganahan kag naay ate unya baby pajud? https://t.co/O2v0lU15E9',Basin ganahan kag naay ate unya baby pajud
1526822443624456192,2022-05-18 07:10:12+00:00,"b'Jusko, sana maka bili na'",Jusko sana maka bili na
1526822443242778624,2022-05-18 07:10:12+00:00,b'@ahjussi44922011 Kalamansi flavor only',Kalamansi flavor only
1526822434728423426,2022-05-18 07:10:10+00:00,b'purya gaba aning handler namo sa HMO',purya gaba aning handler namo sa HMO
1526822430785687552,2022-05-18 07:10:09+00:00,b'@Jha_Bentir30 Goodluck pre\xe2\x98\x9d\xef\xb8\x8f\xf0\x9f\x98\x87',Bentir30 Goodluck pre
1526822430697611264,2022-05-18 07:10:09+00:00,b'@siepsaysitagain Chocotrutcake....\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98',Chocotrutcake
1526822417427210240,2022-05-18 07:10:05+00:00,b'@tps_tropicanas \xf0\x9f\x8c\xb4',tropicanas
1526822405452099584,2022-05-18 07:10:03+00:00,b'I so love this kailangan pa bang picturan  trend. Kakampinks talaga napaka smart. Love you all.',I so love this kailangan pa bang picturan trend Kakampinks talaga napaka smart Love you all
1526822393980674049,2022-05-18 07:10:00+00:00,b'shud i really wear this kind of outfit? \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/yyerweiZnf https://t.co/gHTDboPoJd',shud i really wear this kind of outfit
1526822386158358528,2022-05-18 07:09:58+00:00,b'grumaduate si Jillian with double major from NYU so it\xe2\x80\x99s a major major HAHAHA',grumaduate si Jillian with double major from NYU so it s a major major HAHAHA
